sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	data.6	
88.198	92.17	-95.814	38.192	15.514	104.305	6	2	
88.307	92.29	-97.164	37.742	15.664	105.407	6	2	
88.421	92.4	-97.614	37.742	15.364	105.778	6	2	
88.533	92.51	-97.464	37.892	14.764	105.607	6	2	
88.649	92.63	-94.614	36.692	18.514	103.154	6	2	
97.346	101.29	-12.114	144.092	37.264	149.324	1	3	
97.451	101.4	-11.214	144.392	35.164	149.034	1	3	
97.575	101.52	-11.664	144.092	34.264	148.568	1	3	
97.684	101.63	-12.414	143.192	36.964	148.406	1	3	
97.808	101.75	-11.664	142.142	38.164	147.637	1	3	
97.917	101.87	-11.664	143.042	37.264	148.275	1	3	
98.093	102.04	-11.514	142.442	38.464	147.992	1	3	
98.21	102.16	-12.264	142.292	37.264	147.6	1	3	
98.325	102.27	-12.114	143.342	37.414	148.638	1	3	
98.431	102.38	-11.664	142.892	37.864	148.283	1	3	
98.543	102.49	-11.364	142.142	37.714	147.498	1	3	
98.663	102.61	-11.214	142.742	37.864	148.103	1	3	
98.815	102.76	-11.664	143.492	37.714	148.823	1	3	
98.933	102.88	-12.264	143.042	36.814	148.211	1	3	
99.057	103	-11.814	143.042	37.264	148.287	1	3	
99.17	103.11	-10.764	143.192	37.714	148.466	1	3	
99.277	103.22	-11.514	142.292	37.714	147.654	1	3	
99.394	103.33	-11.514	143.192	37.864	148.56	1	3	
99.549	103.49	-10.914	142.742	37.564	148.004	1	3	
99.664	103.61	-11.664	142.892	36.964	148.055	1	3	
99.779	103.72	-11.214	142.742	38.014	148.142	1	3	
99.892	103.83	-14.514	143.342	34.114	148.058	1	3	
100	103.94	-12.864	143.042	35.164	147.861	1	3	
100.111	104.05	-12.264	142.592	34.714	147.268	1	3	
100.26	104.2	-12.864	143.042	34.114	147.615	1	3	
100.376	104.31	-11.214	141.842	37.414	147.121	1	3	
100.492	104.43	-11.964	143.642	35.464	148.438	1	3	
102.408	106.35	88.836	625.892	134.314	646.276	2	3	
102.526	106.46	89.436	621.692	139.114	643.313	2	3	
102.645	106.58	88.836	621.392	139.564	643.038	2	3	
102.838	106.77	89.136	622.292	139.714	643.981	2	3	
102.955	106.89	89.736	621.692	139.864	643.518	2	3	
103.079	107.01	88.836	621.692	140.014	643.425	2	3	
103.187	107.12	88.536	621.692	139.114	643.189	2	3	
103.304	107.23	89.436	622.442	139.264	644.07	2	3	
103.411	107.35	88.986	621.092	139.114	642.671	2	3	
